topic,batch,topicsperbatch,keywords,vol,group,totaltopic,totalvol,extract
168,17,10,new|peopl|one|world|care|kill|read|govt|weather|#greatbarrierreef,668,140,2,1190,0
169,17,10,iss|impact|year|environ|#environ|ref|impo|chang|#scienc|rise,600,71,2,1207,0
170,17,10,#qanda|time|serio|good|fossil|marriag|fail|hear|mankind|#thori,498,43,2,888,0
171,18,10,hewson|disgrac|nation|coalit|john|acc|#sackh|#fib|recognis|#taxcarbon,249,171,2,566,0
172,18,10,coalit|thank|latest|top|#lnpfail|happen|john|voter|bet|celebr,100,172,1,100,0
173,18,10,marriag|inact|tackl|threat|#reasonsnottovoteliber|right|big|deal|consist|klein,527,173,1,527,0
174,18,10,malcolm|vote|new|pai|elect|polici|labor|scientist|believ|coal,1246,97,4,3292,5
175,18,10,iss|#climatefizza|liber|ralli|john|leader|bay|hewson|impo|domin,349,175,1,349,0
176,18,10,nation|acc|disgrac|hewson|john|coalit|complain|billboard|obama|#coalit,139,176,2,636,0
177,18,10,acc|john|coalit|disgrac|hewson|nation|malcom|govern|listen|tear,136,177,2,323,0
178,18,10,peopl|need|now|act|great|extinct|impact|health|coral|reef,970,41,4,2535,8
179,18,10,one|time|mention|thing|good|word|plan|chang|news|environ,492,179,1,492,0
180,18,10,action|call|poll|strong|find|level|real|highest|promin|choic,790,180,2,1372,0
181,19,10,new|nation|leader|malcolm|denial|senat|bodi|robe|qld|galileo,299,181,5,2251,3
182,19,10,mention|one|nbn|press|#farm|entail|#npc|galleri|oblig|wreck,308,182,1,308,0
183,19,10,pai|tackl|serio|plan|#lnp|#green|#greatbarrierreef|#labor|major|#msm,402,183,1,402,0
184,19,10,peopl|thank|make|contin|thing|effect|time|act|head|need,896,184,3,1899,19
185,19,10,action|real|stand|ref|activist|battl|win|salt|choic|sell,582,180,2,1372,0
186,19,10,hanson|emiss|ignor|comm|impact|hewson|john|coalit|danger|target,497,176,2,636,0
187,19,10,leadership|lack|red|hot|tragic|cold|scientist|#climateact|lost|late,357,187,1,357,0
188,19,10,stop|threat|great|tilt|eah|stori|inact|fix|reef|save,373,111,2,901,0
189,19,10,polici|elect|iss|renew|big|#qanda|talk|bank|deal|creat,756,145,3,2110,15
190,19,10,vote|labor|posit|switch|green|voter|believ|world|man|ssm,530,190,1,530,0
191,20,10,big|iss|tackl|#webofdeni|thing|serio|interest|left|clo|admit,481,191,1,481,0
192,20,10,forest|scientist|heatwav|kelp|blame|destroy|marin|ocean|evid|western,373,192,1,373,0
193,20,10,make|year|peopl|one|fight|deal|stop|threat|good|chang,856,10,4,2878,7
194,20,10,polici|elect|vote|act|labor|creat|deni|#renew|nation|women,481,94,2,750,0
195,20,10,time|record|thank|latest|hot|ice|#actonclim|hottest|sea|straight,371,34,2,1014,0
196,20,10,rise|effect|kill|warn|risk|citi|meet|disc|ind|carbon,668,116,2,1154,0
197,20,10,need|real|long|#climateact|live|lake|bolivia|tree|claim|two,408,197,1,408,0
198,20,10,new|great|energi|scienc|denier|renew|victoria|race|wale|tilt,552,125,4,3361,4
199,20,10,mangrov|death|now|massiv|die|link|nohern|worst|mass|eah,397,199,1,397,0
200,20,10,world|action|believ|impact|fish|qld|former|shop|chip|hanson,410,200,1,410,0
201,21,10,canavan|impact|matthew|act|read|matt|tilt|angl|vote|#iag,339,201,2,834,0
202,21,10,theresa|depa|kill|first|elimin|axe|abolish|plain|move|worri,238,202,1,238,0
203,21,10,need|health|threat|#qanda|debat|blame|prod|risk|price|electr,545,203,2,994,0
204,21,10,real|scienc|#thedr|believ|chang|today|talk|politician|stori|claim,504,56,3,1749,22
205,21,10,one|fossil|stop|polici|ice|carbon|fight|pander|show|sea,619,10,4,2878,7
206,21,10,action|record|coal|effect|great|temperat|good|reef|day|thing,657,206,2,1086,0
207,21,10,time|make|deni|hot|thank|work|major|contin|latest|find,560,184,3,1899,19
208,21,10,world|now|peopl|trillion|cost|#environ|right|nation|big|affect,714,208,3,1842,21
209,21,10,energi|govern|environ|denier|govt|care|planet|plan|renew|close,426,209,2,981,0
210,21,10,new|minist|reso|appoint|meet|beyond|iraq|set|convinc|verifi,398,210,1,398,0
211,22,10,scienc|csiro|anthrax|job|arctic|foc|#csiro|trigger|work|minist,497,16,3,1365,33
212,22,10,#qanda|coal|deni|fight|ind|stop|elect|former|pai|member,468,126,2,1122,0
213,22,10,scientist|peopl|state|made|scientif|right|research|basic|big|save,475,208,3,1842,21
214,22,10,make|risk|year|action|increas|talk|health|effect|today|data,614,214,2,1129,0
215,22,10,new|believ|real|polici|tilt|adapt|read|jame|stori|nat,458,215,1,458,0
216,22,10,world|impact|eah|predict|ocean|repo|red|water|acc|find,587,216,1,587,0
217,22,10,time|govern|chang|carbon|#renew|iss|#coal|energi|impo|act,655,217,5,2892,2
218,22,10,record|play|environment|shatter|hit|role|#heatwav|clo|amidst|temperat,202,218,1,202,0
219,22,10,one|nation|malcolm|robe|senat|evid|lie|vow|empir|halt,465,181,5,2251,3
220,22,10,now|great|denier|need|latest|thank|news|worri|planet|blame,577,41,4,2535,8
221,23,10,malcolm|robe|denial|fact|call|wast|cold|man|proof|greenland,414,221,1,414,0
222,23,10,ref|kid|leav|bar|rot|pariah|nation|threaten|collect|scari,209,222,1,209,0
223,23,10,#openingceremoni|make|rio|lect|statement|brazil|disc|messag|front|#olymp,544,223,1,544,0
224,23,10,one|senat|nation|proof|send|ridic|lie|vow|halt|former,322,181,5,2251,3
225,23,10,scienc|now|great|year|predict|thank|chang|hit|csiro|big,612,225,3,1674,24
226,23,10,new|comm|peopl|impact|olymp|repo|farmer|health|eah|show,598,40,2,1424,0
227,23,10,world|scientist|open|ceremoni|need|talk|first|warn|adapt|govern,742,89,3,1959,18
228,23,10,denier|polit|conspiraci|action|threat|#malcolmrobe|rise|real|carbon|sea,761,228,4,3050,6
229,23,10,time|good|record|stop|deni|play|serio|#scienc|act|ignor,570,229,2,1388,0
230,23,10,evid|demand|empir|mislead|robe|believ|malcolm|sceptic|#insid|#onen,227,230,3,1064,35
231,24,10,evid|empir|data|#malcolmrobe|war|#onen|demand|search|conti|water,371,230,3,1064,35
232,24,10,peopl|blown|target|effect|danger|danc|lnp|lock|environ|realiz,447,232,2,871,0
233,24,10,scienc|world|record|now|debat|conspiraci|show|hottest|nasa|month,703,46,3,1470,27
234,24,10,malcolm|robe|deni|listen|tweet|head|contin|explod|exist|sorri,622,234,1,622,0
235,24,10,denial|scientist|time|new|make|believ|face|act|bring|live,793,113,2,1451,0
236,24,10,robe|malcolm|view|sto|senat|skeptic|#climatechangeisr|right|physicist|introd,259,236,2,600,0
237,24,10,#qanda|feed|ins|air|#scienc|minist|csiro|give|tonight|answer,770,237,1,770,0
238,24,10,denier|need|respond|astrophysicist|twitter|bro|absol|flat|respons|slam,286,238,1,286,0
239,24,10,great|#csiro|real|greg|#qanda|#natsciwk|element|involv|affect|action,339,239,1,339,0
